address,tx,ty,tz
0x2290d04037c,-8.12013,3.74859,5.69169
0x2290d040380,3.74859,5.69169,5.61677
0x2290d040384,5.69169,5.61677,1.4013e-45
0x2290d04081c,7.33238,1.4013e-45,0
0x2290d040870,1.26005,1.26005,1
0x2290d0408ac,1.26005,1.26005,1.26005
0x2290d0408b0,1.26005,1.26005,1
0x2290d0408ec,1,1.6306e-24,7.74918e-43
0x2290d040964,1,1,1
0x2290d040968,1,1,1
0x2290d04096c,1,1,0
0x2290d040970,1,0,0
0x2290d040974,0,0,0
0x2290d040978,0,0,1
0x2290d040980,1,0,0
0x2290d040998,1.26005,0,0
0x2290d0409a4,0,0,1.26005
0x2290d0409ac,1.26005,0,0
0x2290d0409b4,0,0,0
0x2290d040a14,1,3.58732e-43,0
0x2290d040a44,0,6.75632,34.6814
0x2290d040a48,6.75632,34.6814,11.0124
0x2290d040a4c,34.6814,11.0124,-10.1967
0x2290d040a50,11.0124,-10.1967,-1.6716
0x2290d040a54,-10.1967,-1.6716,-4.48212
0x2290d040a58,-1.6716,-4.48212,8.47652
0x2290d040a5c,-4.48212,8.47652,18.1765
0x2290d040a60,8.47652,18.1765,7.74726
0x2290d040a64,18.1765,7.74726,1.4013e-45
0x2290d040efc,7.33239,1.4013e-45,0
0x2290d040f40,0,0,0
0x2290d040f44,0,0,1
0x2290d040f48,0,1,1
0x2290d040f50,1,1,1
0x2290d040f54,1,1,0
0x2290d040f8c,1.26068,1.26069,1.26068
0x2290d040f90,1.26069,1.26068,0.999995
0x2290d041044,1,1,1
0x2290d041048,1,1,1
0x2290d04104c,1,1,0
0x2290d041050,1,0,0
0x2290d041054,0,0,0
0x2290d041058,0,0,1
0x2290d041060,1,0,0
0x2290d041078,1.26068,0.00269452,0.00303063
0x2290d041084,0,-0.0026921,1.26068
0x2290d04108c,1.26068,-0.00107375,0
0x2290d041094,0,-0.00303276,0.00106727
0x2290d0410f4,1,3.58732e-43,0
0x2290d041124,0,3.47226,2.47593
0x2290d041128,3.47226,2.47593,3.1134
0x2290d04112c,2.47593,3.1134,-4.02492
0x2290d041130,3.1134,-4.02492,-8.90744
0x2290d041134,-4.02492,-8.90744,-8.12013
0x2290d041138,-8.90744,-8.12013,3.74859
0x2290d04113c,-8.12013,3.74859,5.69169
0x2290d041140,3.74859,5.69169,5.61677
0x2290d041144,5.69169,5.61677,1.4013e-45
0x2290d044cdc,7.33246,1.4013e-45,0
0x2290d044d30,1.18566,1.18566,-1
0x2290d044d6c,1.18566,1.18566,1.18566
0x2290d044d70,1.18566,1.18566,-1
0x2290d044dac,1,1.62834e-24,7.74918e-43
0x2290d044e24,1,1,1
0x2290d044e28,1,1,1
0x2290d044e2c,1,1,0
0x2290d044e30,1,0,0
0x2290d044e34,0,0,0
0x2290d044e38,0,0,1
0x2290d044e40,1,0,0
0x2290d044e64,0,0,1.18566
0x2290d044e6c,1.18566,0,0
0x2290d044ed0,370.233,1,3.58732e-43
0x2290d044ed4,1,3.58732e-43,0
0x2290d044f04,0,6.75632,34.6814
0x2290d044f08,6.75632,34.6814,11.0124
0x2290d044f0c,34.6814,11.0124,-10.1967
0x2290d044f10,11.0124,-10.1967,-1.6716
0x2290d044f14,-10.1967,-1.6716,-4.48212
0x2290d044f18,-1.6716,-4.48212,8.47652
0x2290d044f1c,-4.48212,8.47652,18.1765
0x2290d044f20,8.47652,18.1765,7.74726
0x2290d044f24,18.1765,7.74726,1.4013e-45
0x2290d0453bc,7.33246,1.4013e-45,0
0x2290d045410,1,1,1
0x2290d045414,1,1,0
0x2290d045444,-68.6143,435.236,1.18625
0x2290d04544c,1.18625,1.18626,1.18625
0x2290d045450,1.18626,1.18625,-0.999995
0x2290d045504,1,1,1
0x2290d045508,1,1,1
0x2290d04550c,1,1,0
0x2290d045510,1,0,0
0x2290d045514,0,0,0
0x2290d045518,0,0,1
0x2290d045520,1,0,0
0x2290d045544,0,0.00253316,1.18625
0x2290d045548,0.00253316,1.18625,0.00101036
0x2290d04554c,1.18625,0.00101036,0
0x2290d0455b4,1,3.58732e-43,0
0x2290d0455e4,0,3.47226,2.47593
0x2290d0455e8,3.47226,2.47593,3.1134
0x2290d0455ec,2.47593,3.1134,-4.02492
0x2290d0455f0,3.1134,-4.02492,-8.90744
0x2290d0455f4,-4.02492,-8.90744,-8.12013
0x2290d0455f8,-8.90744,-8.12013,3.74859
0x2290d0455fc,-8.12013,3.74859,5.69169
0x2290d045600,3.74859,5.69169,5.61677
0x2290d045604,5.69169,5.61677,1.4013e-45
0x2290d0483dc,7.33252,1.4013e-45,0
0x2290d048430,1.20142,1.20142,6.12323e-17
0x2290d04846c,1.20142,1.20142,1.20142
0x2290d0484ac,1,3.12708e-22,7.74918e-43
0x2290d048524,1,1,1
0x2290d048528,1,1,1
0x2290d04852c,1,1,0
0x2290d048530,1,0,0
0x2290d048534,0,0,0
0x2290d048538,0,0,1
0x2290d048540,1,0,0
0x2290d048564,0,-0,1.20142
0x2290d04856c,1.20142,0,0
0x2290d048578,1.20142,0,7.35657e-17
0x2290d0485d4,1,3.58732e-43,0
0x2290d048604,0,6.76477,33.3914
0x2290d048608,6.76477,33.3914,12.9711
0x2290d04860c,33.3914,12.9711,-9.7074
0x2290d048610,12.9711,-9.7074,-0.143109
0x2290d048614,-9.7074,-0.143109,-4.48005
0x2290d048618,-0.143109,-4.48005,8.23609
0x2290d04861c,-4.48005,8.23609,16.7673
0x2290d048620,8.23609,16.7673,8.72557
0x2290d048624,16.7673,8.72557,1.4013e-45
0x2290d048ab8,0.00191875,7.33253,1.4013e-45
0x2290d048abc,7.33253,1.4013e-45,0
0x2290d048b00,0,0,0
0x2290d048b04,0,0,1
0x2290d048b08,0,1,1
0x2290d048b10,1,1,1
0x2290d048b14,1,1,0
0x2290d048b44,16.7961,470.082,1.20202
0x2290d048b4c,1.20202,1.20202,1.20202
0x2290d048b50,1.20202,1.20202,0.00240395
0x2290d048c04,1,1,1
